country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2000,11.09332630914356,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2001,11.10522114740608,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2002,12.00773317343539,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2003,12.90992152526657,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2004,13.81868375452136,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2005,14.73385293988301,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2006,15.64842658257636,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2007,16.56252311561344,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2008,17.47601039001685,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2009,18.38888433981344,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2010,19.301139222627,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2011,20.21288423462238,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2012,21.12399634428364,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2013,22.03446971844136,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2014,22.94430071392888,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2015,23.85358954992429,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2016,24.76222017604443,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2017,25.67141723759182,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2018,26.58131453777191,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2019,27.4917341128464,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using of improved drinking water sources free from faecal and priority chemical contamination,2020,28.40250514964172,Total,,%,,,,Total
